DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20170327,170000,122.9600000,122.9800000,122.3100000,122.6100000,162900
20170327,180000,122.7300000,122.8000000,122.4100000,122.5700000,271900
20170327,190000,122.5900000,123.0000000,122.4700000,123.0000000,619900
20170328,110000,123.4100000,123.6900000,122.5000000,122.9400000,475400
20170328,120000,122.9700000,123.4500000,122.5000000,123.1000000,200400
20170328,130000,123.0900000,123.3600000,123.0000000,123.1000000,201500
20170328,140000,123.0300000,123.0500000,122.6600000,123.0500000,122400
20170328,150000,122.9500000,123.2000000,122.2100000,123.0800000,178600
20170328,160000,123.0600000,123.4300000,122.7200000,122.8400000,699100
20170328,170000,122.8300000,123.2800000,122.1700000,122.3900000,299200
20170328,180000,122.4300000,122.9400000,122.3800000,122.8800000,174600
20170328,190000,122.8900000,123.3800000,122.8700000,123.3000000,279400
20170329,110000,123.7900000,124.3000000,123.7200000,124.0000000,337500
20170329,120000,124.0000000,124.0500000,123.6400000,123.7600000,104000
20170329,130000,123.8500000,123.9400000,123.0800000,123.5600000,185100
20170329,140000,123.5600000,123.6000000,122.9100000,123.0000000,163500
20170329,150000,122.9600000,123.1500000,122.3600000,122.9900000,220700
20170329,160000,123.0800000,123.3600000,122.8500000,123.2100000,82100
20170329,170000,123.2700000,123.3400000,122.9300000,123.1400000,94700
20170329,180000,123.1200000,123.3500000,122.9800000,123.0900000,175000
20170329,190000,123.0900000,123.1400000,122.8700000,123.0500000,123800
20170330,110000,123.4100000,123.9900000,122.1000000,122.4500000,452600
20170330,120000,122.3900000,123.2200000,122.3300000,122.7700000,207400
20170330,130000,122.6900000,122.6900000,122.3300000,122.3400000,64000
20170330,140000,122.4100000,122.4700000,122.1000000,122.1600000,125400
20170330,150000,122.1700000,122.7100000,121.6500000,122.3500000,375300
20170330,160000,122.4000000,123.2000000,122.2100000,122.9700000,252800
20170330,170000,122.9700000,123.3400000,122.7700000,122.7900000,494800
20170330,180000,122.7600000,123.0600000,122.6300000,122.8500000,122800
20170330,190000,122.9300000,123.0200000,122.6800000,122.8800000,207700
20170331,110000,122.6700000,122.7000000,121.6800000,121.7100000,326700
20170331,120000,121.7000000,121.8500000,121.1200000,121.3700000,469900
20170331,130000,121.3700000,122.0300000,121.1700000,121.7500000,217700
20170331,140000,121.7600000,122.0000000,121.0100000,121.4000000,177300
20170331,150000,121.4300000,121.4300000,120.4200000,120.6300000,407800
20170331,160000,120.6300000,120.8600000,120.2700000,120.3200000,214700
20170331,170000,120.3700000,120.4800000,120.1100000,120.3900000,197600
20170331,180000,120.3900000,120.6400000,120.1200000,120.1200000,157100
20170331,190000,120.1400000,120.8000000,120.0000000,120.8000000,378200
20170403,110000,120.7000000,121.7300000,120.3200000,121.3000000,633000
20170403,120000,121.3500000,122.1700000,121.3200000,121.9800000,175000
20170403,130000,121.9900000,122.1900000,121.4100000,121.8700000,372300
20170403,140000,121.8900000,122.1000000,121.5400000,121.8800000,354300
20170403,150000,121.9000000,122.0400000,121.7800000,121.8800000,301400
20170403,160000,121.8600000,121.9200000,121.4000000,121.5700000,129200
20170403,170000,121.5300000,121.6900000,120.2000000,120.6600000,416900
20170403,180000,120.7100000,121.2300000,120.6600000,120.9000000,157100
20170403,190000,120.8200000,120.9200000,120.4300000,120.7400000,307900
20170404,110000,120.4500000,121.2700000,119.0000000,119.8300000,712800
20170404,120000,119.8300000,120.5500000,119.6400000,120.2000000,140700
20170404,130000,120.2400000,120.4800000,120.0000000,120.3000000,99000
20170404,140000,120.3900000,121.5900000,120.1600000,121.3200000,227000
20170404,150000,121.2900000,122.2700000,121.2200000,121.8700000,319300
20170404,160000,121.8900000,121.9800000,121.2300000,121.4100000,128100
20170404,170000,121.4300000,121.8800000,121.3900000,121.6300000,78200
20170404,180000,121.7200000,123.0000000,121.5000000,122.9100000,596400
20170404,190000,122.9700000,123.5000000,122.9000000,123.4200000,606500
20170405,110000,123.5800000,124.2200000,123.2500000,123.6000000,502900
20170405,120000,123.6000000,124.3100000,123.5500000,124.2100000,178500
20170405,130000,124.1900000,125.1100000,123.8800000,124.9900000,581000
20170405,140000,125.0300000,125.4900000,124.7300000,124.9200000,275600
20170405,150000,124.9600000,124.9900000,124.6200000,124.7700000,181500
20170405,160000,124.7800000,125.1600000,124.6500000,124.9000000,195600
20170405,170000,124.8900000,125.3700000,124.6200000,124.8500000,267400
20170405,180000,124.8100000,125.1800000,124.5200000,124.6400000,328800
20170405,190000,124.5900000,124.7900000,124.1500000,124.7100000,392300
20170406,110000,124.3800000,125.2700000,124.0000000,124.6100000,424800
20170406,120000,124.6000000,125.5000000,124.4900000,125.4300000,279900
20170406,130000,125.4600000,125.7900000,125.0100000,125.3900000,432100
20170406,140000,125.3900000,125.3900000,124.8300000,124.9500000,202200
20170406,150000,124.9400000,125.1600000,124.4100000,124.4400000,270500
20170406,160000,124.4400000,125.2800000,124.1100000,125.0000000,315100
20170406,170000,125.0200000,125.5500000,124.9800000,125.2700000,200300
20170406,180000,125.2700000,125.4900000,125.0100000,125.3400000,94400
20170406,190000,125.4100000,125.5600000,125.0000000,125.0000000,193800
20170407,110000,124.4400000,124.6300000,123.0900000,123.2000000,487700
20170407,120000,123.1800000,123.1900000,122.0100000,122.0300000,590700
20170407,130000,122.0200000,122.1300000,121.2500000,121.5100000,484900
20170407,140000,121.5200000,121.9100000,120.7700000,121.7500000,623000
20170407,150000,121.8400000,122.1800000,121.3500000,121.8200000,715700
20170407,160000,121.7500000,122.4800000,121.6100000,122.3400000,311200
20170407,170000,122.3300000,122.3600000,121.6200000,121.9200000,616500
20170407,180000,121.9100000,122.7900000,121.8400000,122.4300000,325200
20170407,190000,122.4300000,122.6700000,122.2400000,122.5900000,216100
20170410,110000,122.1500000,122.5700000,119.0300000,119.6600000,762300
20170410,120000,119.6800000,119.8800000,118.3300000,118.3700000,1041900
20170410,130000,118.3700000,118.4900000,117.6900000,118.2400000,565100
20170410,140000,118.3000000,118.3100000,117.4100000,118.0500000,639200
20170410,150000,117.9600000,118.4600000,117.6700000,118.1800000,417000
20170410,160000,118.2400000,118.4300000,118.0000000,118.3000000,202500
20170410,170000,118.3000000,118.4600000,117.9900000,118.2500000,671600
20170410,180000,118.2000000,118.3900000,118.0300000,118.1200000,163300
20170410,190000,118.0300000,118.1000000,117.3500000,117.3500000,388300
20170411,110000,117.2100000,118.8000000,116.4100000,118.5800000,1105700
20170411,120000,118.5200000,118.9900000,118.1400000,118.4600000,328100
20170411,130000,118.5700000,118.6900000,117.9000000,118.3900000,304500
20170411,140000,118.3000000,118.8300000,118.2400000,118.6700000,295100
20170411,150000,118.6100000,118.9300000,118.3500000,118.9000000,307000
20170411,160000,118.9400000,119.1500000,117.3600000,117.4500000,667500
20170411,170000,117.5000000,117.9600000,116.9200000,117.4900000,704800
20170411,180000,117.4500000,117.7800000,117.0000000,117.0500000,288500
20170411,190000,117.0900000,117.5700000,117.0600000,117.4800000,223300
20170412,110000,117.7600000,118.4000000,117.2300000,117.7700000,477600
